rank,place,population,lat,lon
1,New York city,8175133,40.71455,-74.007124
2,Los Angeles city,3792621,34.05349,-118.245319
3,Chicago city,2695598,41.88415,-87.632409
4,Houston city,2099451,29.76045,-95.369784
5,Philadelphia city,1526006,39.95228,-75.162454
6,Phoenix city,1445632,33.44826,-112.075774
7,San Antonio city,1327407,29.42449,-98.494619
8,San Diego city,1307402,32.715695,-117.161719
9,Dallas city,1197816,32.778155,-96.795404
10,San Jose city,945942,37.338475,-121.885794
11,Jacksonville city,821784,30.33147,-81.656219
12,Indianapolis city (balance),820445,39.76691,-86.149964
13,Austin city,790390,30.267605,-97.742984
14,San Francisco city,805235,37.777125,-122.419644
15,Columbus city,787033,39.96196,-83.002984
16,Fort Worth city,741206,32.748855,-97.329389
17,Charlotte city,731424,35.22269,-80.837764
18,Detroit city,713777,42.331685,-83.047924
19,El Paso city,649121,35.12484,-92.09594
20,Memphis city,646889,35.149766,-90.049259
21,Boston city,617594,42.358635,-71.056699
22,Seattle city,608660,47.60356,-122.329439
23,Denver city,600158,39.74001,-104.992259
24,Baltimore city,620961,39.290585,-76.609264
25,Washington city,601723,38.89037,-77.031959
26,Nashville-Davidson metropolitan government (balance),601222,36.167783,-86.778365
27,Louisville/Jefferson County metro government (balance),597337,38.25486,-85.766404
28,Milwaukee city,594833,43.04181,-87.906844
29,Portland city,583776,45.511795,-122.675629
30,Oklahoma City city,579999,35.472015,-97.520354
31,Las Vegas city,583756,36.171915,-115.139974
32,Albuquerque city,545852,35.08418,-106.648639
33,Tucson city,520116,32.221553,-110.969754
34,Fresno city,494665,36.740685,-119.785734
35,Sacramento city,466488,38.579065,-121.491014
36,Long Beach city,462257,33.766725,-118.192399
37,Kansas City city,459787,39.11338,-94.626824
38,Mesa city,439041,33.417045,-111.831459
39,Virginia Beach city,437994,36.75502,-76.059204
40,Atlanta city,420003,33.748315,-84.391109
41,Colorado Springs city,416427,38.83345,-104.821814
42,Raleigh city,403892,37.8273,-88.536814
43,Omaha city,408958,41.260675,-95.940469
44,Miami city,399457,25.728985,-80.237419
45,Tulsa city,391906,36.149745,-95.993334
46,Oakland city,390724,37.805065,-122.273024
47,Cleveland city,396815,41.50438,-81.690434
48,Minneapolis city,382578,44.979035,-93.264929
49,Wichita city,382368,37.68698,-97.335579
50,Arlington city,365438,32.056915,-87.588184
